start_lat,start_lon,end_lat,end_lon,length_km,width_m,road_type,is_official,is_wide_road,safety_index
,,,,0.32,2.4,자전거보행자겸용도로,Y,1,0.1443
,,,,0.25,2.5,자전거보행자겸용도로,Y,1,0.1516
,,,,0.31,2.5,자전거보행자겸용도로,Y,1,0.1518
,,,,0.52,4.9,자전거보행자겸용도로,Y,1,0.3334
,,,,0.36,1.8,자전거보행자겸용도로,Y,0,0.0994
,,,,0.25,1.9,자전거보행자겸용도로,Y,0,0.1064
,,,,0.5,1.6,자전거보행자겸용도로,Y,0,0.0849
,,,,0.08,4.0,자전거보행자겸용도로,Y,1,0.2637
,,,,0.1,1.3,자전거보행자겸용도로,Y,0,0.0606
,,,,0.37,1.5,자전거보행자겸용도로,Y,0,0.0768
,,,,0.19,1.8,자전거보행자겸용도로,Y,0,0.0986
,,,,0.1,2.0,자전거보행자겸용도로,Y,1,0.1133
,,,,0.26,2.5,자전거보행자겸용도로,Y,1,0.1516
,,,,0.44,1.5,자전거보행자겸용도로,Y,0,0.0771
,,,,0.14,2.0,자전거보행자겸용도로,Y,1,0.1135
,,,,0.24,5.5,자전거보행자겸용도로,Y,1,0.3773
,,,,0.43,1.5,자전거보행자겸용도로,Y,0,0.0771
,,,,0.06,1.4,자전거보행자겸용도로,Y,0,0.068
,,,,0.43,1.8,자전거보행자겸용도로,Y,0,0.0997
,,,,0.42,1.9,자전거보행자겸용도로,Y,0,0.1071
,,,,0.27,2.4,자전거보행자겸용도로,Y,1,0.1441
,,,,0.28,3.5,자전거보행자겸용도로,Y,1,0.227
,,,,0.5,4.3,자전거보행자겸용도로,Y,1,0.2881
,,,,0.35,2.0,자전거보행자겸용도로,Y,1,0.1144
,,,,0.36,2.0,자전거보행자겸용도로,Y,1,0.1144
,,,,0.07,2.0,자전거보행자겸용도로,Y,1,0.1132
,,,,0.23,2.0,자전거보행자겸용도로,Y,1,0.1138
,,,,0.36,2.0,자전거보행자겸용도로,Y,1,0.1144
,,,,0.07,2.0,자전거보행자겸용도로,Y,1,0.1132
,,,,0.23,2.0,자전거보행자겸용도로,Y,1,0.1138
,,,,0.43,1.4,자전거보행자겸용도로,Y,0,0.0695
,,,,0.16,2.0,자전거보행자겸용도로,Y,1,0.1135
,,,,0.12,1.5,자전거전용도로,Y,0,0.0757
,,,,0.22,4.1,자전거보행자겸용도로,Y,1,0.2719
,,,,0.13,2.1,자전거보행자겸용도로,Y,1,0.1209
,,,,0.34,2.5,자전거보행자겸용도로,Y,1,0.152
,,,,0.04,2.3,자전거보행자겸용도로,Y,1,0.1356
,,,,0.19,2.5,자전거보행자겸용도로,Y,1,0.1513
,,,,0.23,2.5,자전거보행자겸용도로,Y,1,0.1515
,,,,0.23,2.5,자전거보행자겸용도로,Y,1,0.1515
,,,,0.12,2.5,자전거보행자겸용도로,Y,1,0.151
,,,,0.43,1.6,자전거보행자겸용도로,Y,0,0.0846
,,,,0.27,2.0,자전거보행자겸용도로,Y,1,0.114
,,,,0.29,1.8,자전거보행자겸용도로,Y,0,0.0991
,,,,0.01,1.5,자전거보행자겸용도로,Y,0,0.0753
,,,,0.07,1.3,자전거보행자겸용도로,Y,0,0.0605
,,,,0.02,1.5,자전거보행자겸용도로,Y,0,0.0753
,,,,0.12,2.5,자전거보행자겸용도로,Y,1,0.151
,,,,0.33,2.3,자전거보행자겸용도로,Y,1,0.1369
,,,,0.04,2.3,자전거보행자겸용도로,Y,1,0.1356
,,,,0.1,2.6,자전거보행자겸용도로,Y,1,0.1585
,,,,0.13,2.5,자전거보행자겸용도로,Y,1,0.1511
,,,,0.38,1.5,자전거보행자겸용도로,Y,0,0.0769
,,,,0.35,2.5,자전거보행자겸용도로,Y,1,0.152
,,,,0.5,1.5,자전거보행자겸용도로,Y,0,0.0774
,,,,0.45,2.7,자전거보행자겸용도로,Y,1,0.1675
,,,,0.7,2.2,자전거보행자겸용도로,Y,1,0.1309
,,,,0.14,2.2,자전거보행자겸용도로,Y,1,0.1285
,,,,0.17,2.2,자전거보행자겸용도로,Y,1,0.1286
,,,,0.06,2.9,자전거보행자겸용도로,Y,1,0.1809
,,,,0.22,2.0,자전거보행자겸용도로,Y,1,0.1138
,,,,0.62,2.0,자전거보행자겸용도로,Y,1,0.1155
