x,y,distance,install_type,is_24h,has_restricted_hours
127.087283077,37.49288099,13324.919088,,False,False
127.05693681,37.493279219,10856.510909,,False,False
127.064570921,37.502104879,10921.207907,,False,False
127.058018486,37.499769685,10529.780757,,False,False
127.059712846,37.498293275,10754.135189,,False,False
127.057134999,37.491924541,10960.324066,,False,False
127.055037594,37.492112706,10790.877693,,False,False
127.06854921,37.49815462,11473.448878,,False,False
127.061291432,37.499191494,10825.224957,,False,False
127.062592233,37.494381168,11222.127021,기타|태양광|태양광|,False,False
127.065151561,37.494892757,11392.52173,,False,False
127.061894939,37.493681915,11211.41399,,False,False
127.062634486,37.494410251,11223.629444,,False,False
127.065304768,37.49529668,11380.206383,,False,False
127.04710228,37.484116773,10792.651028,,False,False
127.057885369,37.504118245,10258.87377,,False,False
127.063377789,37.499839189,10954.687342,,False,False
127.039026864,37.488155187,9956.806882,,False,False
127.046281012,37.4838511,10757.541752,,False,False
127.049436575,37.488591944,10627.945643,,False,False
127.054757944,37.492057571,10773.761331,,False,False
127.046621907,37.493885684,10055.125088,,False,False
127.056836871,37.497748465,10562.410152,,False,False
127.059474651,37.49863941,10714.115281,,False,False
127.060259428,37.498893588,10760.88781,,False,False
127.061733106,37.499355378,10850.794872,,False,False
127.062132161,37.499068423,10899.939811,,False,False
127.06427461,37.499798559,11029.784443,,False,False
127.055608171,37.491274335,10889.354338,,False,False
127.055951805,37.49138886,10907.269068,,False,False
127.055964467,37.49092189,10939.416054,,False,False
127.054703513,37.490388721,10882.136018,,False,False
126.926264246,37.484128073,9353.633911,,False,False
127.044932979,37.689768558,14392.149182,,False,False
127.045306117,37.678345624,13426.306411,,False,False
127.026639534,37.518797448,6895.715036,,False,False
127.031458052,37.520505577,7160.223273,,False,False
127.036605429,37.522140438,7481.780883,,False,False
127.044147931,37.523552245,8044.804122,,False,False
127.050839591,37.524410511,8589.077788,,False,False
127.046713182,37.484865664,10711.033785,,False,False
126.888716679,37.466536819,13007.922504,,False,False
