visit_area_nm,x_coord,y_coord,attraction_score_mean,attraction_score_std,visit_count,attraction_score_norm
가평 프리미엄 키즈 풀빌라,127.34528719999999,37.8605796,4.0256,0.4007,3,0.5578
가평군 농협 자라섬 지점,127.5150401,37.8143392,3.7741,0.0,1,0.4437
가평군 농협 하나로마트 본점,127.5141732,37.8301708,4.1896,0.1208,5,0.6322
가평군 농협 하나로마트 북면점,127.5488846,37.8838616,4.0035,0.2139,7,0.5478
가평군 농협 하나로마트 설악점,127.4914541,37.6776814,3.8133,0.0536,2,0.4615
가평군 농협 하나로마트 자라 점,127.5150275,37.8144906,3.9646,0.0,1,0.5301
가평군 농협 하나로마트 자라점,127.5150275,37.8144906,4.0014,0.0,1,0.5468
가평군 농협 하나로마트 조종적,127.3488305,37.8176551,4.1066,0.2036,3,0.5946
가평군 농협 하나로마트 조종점,127.3488305,37.8176551,4.1179,0.0,1,0.5997
가평군 농협 하나로마트 청평점,127.4151943,37.7351031,3.9072,0.08,6,0.5041
가평군 어린이 음악 놀이터,127.5132748,37.8264124,4.106,0.1139,4,0.5943
가평글램독 애견펜션,127.508155,37.8543116,4.3455,0.0,1,0.703
가평레저벨리카트장,127.3704116,37.7701466,3.5671,0.0,1,0.3497
가평빠지 썸머플레이스 수상레저,127.5223417,37.8293853,4.2934,0.0,1,0.6793
가평역 경춘선,127.5107394,37.8145201,4.2954,0.1301,28,0.6802
가평역 주차장,127.5116713,37.8146133,4.307,0.0,1,0.6855
가평천,127.521439,37.8999221,4.3639,0.0,1,0.7113
가평휴게소 서울 방향,127.54351479999998,37.7016169,4.2594,0.1339,3,0.6639
가평휴게소 춘천 방향,127.5468237,37.7019331,4.2457,0.1604,4,0.6577
가회동 백인제 가옥,126.984173,37.5808175,4.1759,0.0,1,0.626
간도 초밥집,127.2091436,37.5859672,4.0861,0.0,1,0.5853
간석 어울림마을 아파트,126.707131,37.4591627,3.7125,0.0,1,0.4157
갈낙집,126.8242646,37.6637074,4.4693,0.0,1,0.7592
갈대 프리마켓,126.6993487,37.7874644,3.9526,0.0,1,0.5247
갈대의 집 본점,126.686651,37.7150452,4.1925,0.0,1,0.6335
갈릴리 농원 본관,126.7456833,37.835781,4.5373,0.0081,2,0.79
갈매 중앙공원,127.1191026,37.6315166,3.9351,0.0,1,0.5167
갈비 1987,127.3662199,38.0321423,4.376,0.0,1,0.7168
갈월에이트리움-고려오피스텔,126.9724576,37.5415157,3.158,0.0018,2,0.1641
갈현동 할머니 떡볶이 둘째네,126.9610378,37.5706129,4.2394,0.0,1,0.6548
