route_name,sido,sigungu,start_addr_jibun,start_addr_road,start_lat,start_lon,end_lat,end_lon,length_km,road_id,width_m,is_wide_road,safety_index
야탑로(번영로)(대로3-15),경기도,성남시,,경기도 성남시 분당구 야탑동 488-1,,,,,2.62,야탑로(번영로)(대로3-15)_성남시,,0,
야탑로(번영로)(대로3-14),경기도,성남시,,경기도 성남시 분당구 야탑동 488-1,,,,,1.02,야탑로(번영로)(대로3-14)_성남시,,0,
장미로38번길,경기도,성남시,,경기도 성남시 분당구 야탑동 343-1,,,,,0.1,장미로38번길_성남시,,0,
장미로(대로3-12),경기도,성남시,,경기도 성남시 분당구 야탑동 488-1,,,,,1.42,장미로(대로3-12)_성남시,,0,
장미로(대로3-13),경기도,성남시,,경기도 성남시 분당구 야탑동 488-1,,,,,2.72,장미로(대로3-13)_성남시,,0,
황새울로200번길,경기도,성남시,,경기도 성남시 분당구 수내동 20-7,,,,,0.22,황새울로200번길_성남시,,0,
황새울로(탄천중로),경기도,성남시,,경기도 성남시 분당구 정자동 100-2,,,,,3.44,황새울로(탄천중로)_성남시,,0,
황새울로(탄천중로),경기도,성남시,,경기도 성남시 분당구 정자동 100-2,,,,,3.84,황새울로(탄천중로)_성남시,,0,
돌마로366번길,경기도,성남시,,경기도 성남시 분당구 수내동 126-1,,,,,0.53,돌마로366번길_성남시,,0,
돌마로356번길,경기도,성남시,,경기도 성남시 분당구 수내동 69-1,,,,,0.5,돌마로356번길_성남시,,0,
금상로,경기도,성남시,,경기도 성남시 중원구 상대원동 3000,,,,,1.37,금상로_성남시,,0,
희망로,경기도,성남시,,경기도 성남시 중원구 중앙동 736,,,,,0.34,희망로_성남시,,0,
희망로,경기도,성남시,,경기도 성남시 수정구 신흥동 125,,,,,1.9,희망로_성남시,,0,
내정로174번길,경기도,성남시,,경기도 성남시 분당구 수내동 63-2,,,,,0.47,내정로174번길_성남시,,0,
내정로173번길,경기도,성남시,,경기도 성남시 분당구 수내동 38-1,,,,,0.46,내정로173번길_성남시,,0,
내정로166번길,경기도,성남시,,경기도 성남시 분당구 수내동 38-1,,,,,0.5,내정로166번길_성남시,,0,
내정로165번길,경기도,성남시,,경기도 성남시 분당구 수내동 40-4,,,,,0.53,내정로165번길_성남시,,0,
내정로,경기도,성남시,,경기도 성남시 분당구 수내동 36,,,,,3.94,내정로_성남시,,0,
